  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",1,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,0,0,1
"(3, 2)",1,1,1,0
"(4, 2)",0,1,0,0
"(5, 2)",1,0,0,1
"(6, 2)",1,1,1,0
"(1, 3)",1,1,0,1
"(2, 3)",0,1,1,0
"(3, 3)",1,1,0,1
"(4, 3)",0,0,1,1
"(5, 3)",0,1,1,0
"(6, 3)",1,1,0,0
"(1, 4)",1,1,0,1
"(2, 4)",0,0,1,1
"(3, 4)",0,1,1,1
"(4, 4)",1,0,1,1
"(5, 4)",1,0,1,1
"(6, 4)",1,1,1,0
"(1, 5)",0,1,0,1
"(2, 5)",1,0,1,0
"(3, 5)",1,0,0,1
"(4, 5)",0,1,1,0
"(5, 5)",0,1,0,0
"(6, 5)",1,1,0,0
"(1, 6)",0,0,0,1
"(2, 6)",0,1,1,1
"(3, 6)",0,1,1,1
"(4, 6)",0,0,1,1
"(5, 6)",0,0,1,1
"(6, 6)",0,1,1,0